Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
cancel_order,Chrome 71.0.3578.98,,2019-01-30 10:48:08,2019-01-30 10:49:04,56.363s,FAILED
,,,,,,
Test Cases/ssg_login,Chrome 71.0.3578.98,,2019-01-30 10:48:08,2019-01-30 10:48:55,46.947s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-30 10:48:09,2019-01-30 10:48:22,13.229s,PASSED
"navigateToUrl(""http://qa-www.ssg.com/"")",Chrome 71.0.3578.98,,2019-01-30 10:48:22,2019-01-30 10:48:50,28.626s,PASSED
"click(findTestObject(""Object Repository/order/a_""))",Chrome 71.0.3578.98,GNB 로그인 버튼 클릭,2019-01-30 10:48:50,2019-01-30 10:48:52,1.152s,PASSED
"switchToWindowTitle(""로그인, 신세계적 쇼핑포털 SSG.COM"")",Chrome 71.0.3578.98,,2019-01-30 10:48:52,2019-01-30 10:48:53,1.335s,PASSED
"setText(findTestObject(""Object Repository/order/input__mbrLoginId""), ""nezz"")",Chrome 71.0.3578.98,,2019-01-30 10:48:53,2019-01-30 10:48:55,1.603s,PASSED
"setEncryptedText(findTestObject(""Object Repository/order/input__password""), ""RKSwBYi2f48="")",Chrome 71.0.3578.98,,2019-01-30 10:48:55,2019-01-30 10:48:55,0.354s,PASSED
"click(findTestObject(""Object Repository/order/button_""))",Chrome 71.0.3578.98,,2019-01-30 10:48:55,2019-01-30 10:48:55,0.173s,PASSED
"switchToWindowTitle(""신세계적 쇼핑포털 SSG.COM"")",Chrome 71.0.3578.98,,2019-01-30 10:48:55,2019-01-30 10:48:55,0.105s,PASSED
,,,,,,
Test Cases/ssg_cancel,Chrome 71.0.3578.98,,2019-01-30 10:48:55,2019-01-30 10:49:03,8.008s,FAILED
"navigateToUrl(""https://qa-pay.ssg.com/myssg/orderInfo.ssg?viewType=Ssg"")",Chrome 71.0.3578.98,,2019-01-30 10:48:56,2019-01-30 10:49:02,6.110s,PASSED
"click(findTestObject(""Object Repository/cancel/button_ (1)""))",Chrome 71.0.3578.98,,2019-01-30 10:49:02,2019-01-30 10:49:02,0.840s,PASSED
"click(findTestObject(""Object Repository/cancel/label_""))",Chrome 71.0.3578.98,,2019-01-30 10:49:02,2019-01-30 10:49:03,0.233s,PASSED
"click(findTestObject(""Object Repository/cancel/label_ (1)""))",Chrome 71.0.3578.98,,2019-01-30 10:49:03,2019-01-30 10:49:03,0.510s,FAILED
